id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18872466,Bonito apartamento con piscina junto a la playa.,131492515,Veronica,,Ciutadella de Menorca,40.00511,3.81318,Entire home/apt,33,4,14,2019-08-20,0.41,1,211
18889830,Habitación matrimonio con baño privado 200 mts mar,49995721,Angeles,,Ciutadella de Menorca,39.9956,3.83465,Private room,75,2,18,2019-08-17,0.53,3,362
18909616,Villa Eldorado Menorca,131783676,Diana,,Ciutadella de Menorca,39.96367,3.8349,Entire home/apt,260,7,2,2017-08-30,0.06,1,358
18922029,Rafal Fort,131888524,Magda,,Alaior,39.94176,4.07047,Entire home/apt,265,7,2,2018-08-18,0.09,2,0
18926651,Lujosa Villa en Son Bou,77710028,Olga,,Alaior,39.90419,4.07571,Entire home/apt,265,7,0,,,1,0
18952762,Apartment in Cala Blanca,132147629,Eva,,Ciutadella de Menorca,39.97237,3.83551,Entire home/apt,102,7,27,2019-05-14,0.79,1,261
18954345,Habitación individual con desayuno,128669016,Patricia,,Sant Lluís,39.82582,4.22403,Private room,50,1,56,2019-10-02,1.60,1,0
18967449,☀Villa Roqueta☀great pool☀free WiFi & AC☀,105711740,3Villas Menorca,,Sant Lluís,39.83464,4.21761,Entire home/apt,600,7,15,2019-10-06,0.45,97,330
19026254,Confucio at Casa Bonita: room with bath en suite,517282,Gloria,,Es Castell,39.85325,4.2774,Private room,111,2,9,2019-07-25,0.26,3,188
19026964,BUNGALOW CIUDADELA,12290067,David,,Ciutadella de Menorca,39.93176,3.82543,Entire home/apt,60,4,5,2019-09-21,0.22,9,288
19029954,Racó Blau,132795480,Yolanda,,Sant Lluís,39.82552,4.20858,Entire home/apt,130,7,1,2019-06-22,0.10,1,151
19059440,Sebas home,120527502,Sebastián,,Mahón,39.8884,4.25462,Entire home/apt,200,14,0,,,2,0
19059723,Sebas home,120527502,Sebastián,,Mahón,39.88894,4.25501,Entire home/apt,184,4,0,,,2,0
19095095,Villa Addaya,11591940,Isabel,,Es Mercadal,40.00398,4.19578,Entire home/apt,100,4,6,2019-09-11,0.26,1,268
19110130,Seafront apartment with Menorcan sunset views,113089809,Deborah,,Es Mercadal,40.05083,4.10844,Entire home/apt,81,3,13,2019-10-08,0.59,1,0
19124088,Apartamento con piscina junto a la playa,86453500,Adela,,Ciutadella de Menorca,39.92724,3.84035,Entire home/apt,170,5,14,2019-09-11,0.41,1,269
19125741,TORRENT VERD,131888524,Magda,,Alaior,39.93856,4.066,Entire home/apt,150,7,0,,,2,0
19133732,Apto. en primera línea de mar en Pto. de Addaia,133727755,Gabriel,,Es Mercadal,40.01204,4.20035,Entire home/apt,150,5,21,2019-08-31,0.62,1,225
19146140,Pas de Cavalls,100331202,Robert,,Ciutadella de Menorca,40.00006,3.83963,Private room,30,2,11,2018-08-23,0.33,1,0
19149769,Frida,49599016,Chantal,,Ferreries,39.9668,3.99405,Private room,140,4,11,2019-08-24,0.32,5,315
19152982,Picasso at Casa Bonita: room with bath en suite,517282,Gloria,,Es Castell,39.85457,4.27906,Private room,106,2,28,2019-09-26,0.83,3,62
19153481,"Villa Es Refugi, private pool fabulous sea views",60877189,Tracey,,Alaior,39.90596,4.07117,Entire home/apt,190,7,20,2019-10-22,0.59,1,0
19166392,Encantador chalet en Cap den Font con piscina,133885885,Jorge,,Sant Lluís,39.82729,4.20778,Entire home/apt,284,7,1,2018-06-30,0.04,1,216
19180461,Casa Juana - Bonita casa centro de Ciutadella,6258490,Puri,,Ciutadella de Menorca,40.00534,3.83918,Entire home/apt,70,3,25,2019-09-11,0.76,9,205
